 account_code |                         item_name                         | total_debit  
--------------+-----------------------------------------------------------+--------------
 26           | Амортизация ОС (103)                                      | 200160840.13
 20           | Аренда/субаренда недвижимого имущества  (У2505)           | 125072204.40
 26           | Налог на имущество (302)                                  |  27828384.00
 20           | Коммунальные расходы (У2512)                              |  21233253.49
 26           | Оплата труда (707)                                        |  12351968.53
 26           | Страховые взносы (кроме взносов в ФСС от НС и ПЗ) (712)   |   2742725.27
 20           | Строительно-монтажные работы и имущество (У2521)          |   2104878.86
 26           | Аренда нежилого помещения                                 |    409208.34
 26           | Списание материалов                                       |    342050.83
 26           | Прочие общехозяйственные расходы (502)                    |    305076.60
 26           | Приобретение программных продуктов (506)                  |    142958.66
 20           | Строительно-монтажные работы и имущество (У1221)          |    110000.00
 20           | Эксплуатация и ТО (У2528)                                 |    100074.40
 26           | Взносы в ФСС от НС и ПЗ (общехозяйственные расходы) (702) |     74111.81
 20           | Эксплуатация и ТО (У1228)                                 |     73401.42
 26           | Аудиторские услуги (902)                                  |     70000.00
 26           | Медицинские осмотры (951)                                 |     53580.00
 26           | Расходы на обучение сотрудников (907)                     |     40000.00
 26           | Почтовые расходы (906)                                    |     16832.83
 26           | Информационные услуги (903)                               |     11249.06
(20 rows)

