 account_code |                                              item_name                                               | total_debit 
--------------+------------------------------------------------------------------------------------------------------+-------------
 20           | Оплата труда (707)                                                                                   | 81948585.44
 20           | Аренда и лизинг автотранспорта (202)                                                                 | 21413301.80
 20           | Страховые взносы (кроме взносов в ФСС от НС и ПЗ) (712)                                              | 15920282.81
 26           | Консультационные, бухгалтерские, юридические (консалтинговые) услуги (904)                           | 12062000.00
 20           | Расходные материалы, канцтовары и хоз.принадлежности (производственные расходы) (406)                |  6786640.34
 26           | Услуги управления (920)                                                                              |  6651428.53
 20           | Аренда офисных помещений (205)                                                                       |  3542700.95
 20           | Амортизация ОС (103)                                                                                 |  3483423.76
 20           | Малоценное оборудование и запасы                                                                     |  1947635.62
 20           | Услуги по ТО и ТЭ оборудования,систем и сетей  производств. помещений и обслуживаемых Объектов (806) |  1462341.61
 26           | Налог на имущество (302)                                                                             |   818191.00
 26           | Земельный налог (301)                                                                                |   816154.00
 20           | Передача в эксплуатацию ТМЦ (произв.расходы) (401)                                                   |   715415.30
 20           | Газоснабжение(производственные расходы)                                                              |   601881.68
 20           | Обучение персонала (716)                                                                             |   555600.00
 20           | Налог на имущество (302)                                                                             |   410285.00
 20           | Земельный налог (301)                                                                                |   408077.00
 20           | Прочие производственные расходы (503)                                                                |   254619.05
 20           | Услуги вывоза мусора и утилизации ТБО (производственные расходы) (804)                               |   232246.70
 26           | Добровольное медицинское страхование (705)                                                           |   223780.84
(20 rows)

