                                 List of relations
       Schema       |             Name              |    Type     |     Owner      
--------------------+-------------------------------+-------------+----------------
 analytics          | fct_activity_summary          | table       | analytics_user
 analytics          | fct_companies_by_activity     | table       | analytics_user
 analytics          | fct_cost_of_sales_breakdown   | table       | analytics_user
 analytics          | fct_cost_structure_by_company | table       | analytics_user
 analytics          | profit_loss_9m                | table       | analytics_user
 analytics          | profit_v                      | table       | analytics_user
 audit              | data_quality_checks           | table       | analytics_user
 audit              | upload_log                    | table       | analytics_user
 history            | cashflow_movements            | table       | analytics_user
 history            | osv_51                        | table       | analytics_user
 history            | osv_60                        | table       | analytics_user
 history            | osv_62                        | table       | analytics_user
 history            | osv_62_revenue                | table       | analytics_user
 history            | osv_91                        | table       | analytics_user
 history            | osv_9m_costs                  | table       | analytics_user
 history            | osv_9m_summary                | table       | analytics_user
 history            | osv_detailed                  | table       | analytics_user
 history            | osv_h1_summary                | table       | analytics_user
 history            | revenue_analysis              | table       | analytics_user
 information_schema | sql_features                  | table       | analytics_user
 information_schema | sql_implementation_info       | table       | analytics_user
 information_schema | sql_parts                     | table       | analytics_user
 information_schema | sql_sizing                    | table       | analytics_user
 master             | account_rsbu_mapping          | table       | analytics_user
 master             | chart_of_accounts             | table       | analytics_user
 master             | companies                     | table       | analytics_user
 master             | companies_okved               | table       | analytics_user
 master             | company_name_mapping          | table       | analytics_user
 master             | cost_categories               | table       | analytics_user
 master             | cost_groups                   | table       | analytics_user
 master             | cost_items                    | table       | analytics_user
 master             | cost_items_mapping            | table       | analytics_user
 master             | counterparties                | table       | analytics_user
 master             | counterparties_okved          | table       | analytics_user
 master             | dds_categories                | table       | analytics_user
 master             | dds_groups                    | table       | analytics_user
 master             | dds_items                     | table       | analytics_user
 master             | dds_items_mapping             | table       | analytics_user
 master             | okved                         | table       | analytics_user
 master             | periods                       | table       | analytics_user
 master             | rsbu_codes                    | table       | analytics_user
 pg_catalog         | pg_aggregate                  | table       | analytics_user
 pg_catalog         | pg_am                         | table       | analytics_user
 pg_catalog         | pg_amop                       | table       | analytics_user
 pg_catalog         | pg_amproc                     | table       | analytics_user
 pg_catalog         | pg_attrdef                    | table       | analytics_user
 pg_catalog         | pg_attribute                  | table       | analytics_user
 pg_catalog         | pg_auth_members               | table       | analytics_user
 pg_catalog         | pg_authid                     | table       | analytics_user
 pg_catalog         | pg_cast                       | table       | analytics_user
 pg_catalog         | pg_class                      | table       | analytics_user
 pg_catalog         | pg_collation                  | table       | analytics_user
 pg_catalog         | pg_constraint                 | table       | analytics_user
 pg_catalog         | pg_conversion                 | table       | analytics_user
