 account_code |                                              item_name                                               | total_debit  
--------------+------------------------------------------------------------------------------------------------------+--------------
 20           | Амортизация ОС (103)                                                                                 | 104159791.83
 20           | Услуги по ТО и ТЭ оборудования,систем и сетей  производств. помещений и обслуживаемых Объектов (806) |  72188097.12
 26           | Консультационные, бухгалтерские, юридические (консалтинговые) услуги (904)                           |  36489600.00
 26           | Амортизация ОС (103)                                                                                 |  33266342.03
 20           | Оплата труда (707)                                                                                   |  28897648.27
 20           | Ремонтные работы производственных помещений и обслуживаемых Объектов (802)                           |  23124976.63
 26           | Услуги управления (920)                                                                              |  17546571.45
 20           | Налог на имущество (302)                                                                             |  11169546.22
 20           | Услуги по уборке производственных помещений и обслуживаемых Объектов (807)                           |   8148590.32
 20           | Земельный налог (301)                                                                                |   7057755.00
 20           | Страховые взносы (кроме взносов в ФСС от НС и ПЗ) (712)                                              |   5912805.08
 20           | Электроснабжение (производственные расходы) (809)                                                    |   4097586.75
 20           | Списание материалов                                                                                  |   3214648.21
 26           | Налог на имущество (302)                                                                             |   2558164.78
 20           | Газоснабжение(производственные расходы)                                                              |   1576555.01
 20           | Прочие производственные расходы (503)                                                                |   1496596.09
 20           | Аренда земельного участка (201)                                                                      |    979011.41
 20           | Водоснабжение, канализация и водоотведение (производственные расходы) (801)                          |    900536.00
 20           | Передача в эксплуатацию ТМЦ (произв.расходы) (401)                                                   |    687320.14
 26           | Оплата труда (707)                                                                                   |    637518.25
(20 rows)

